Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
Collision;2;10;68.75;32.8125;49.21875;0.57755;51.17188;0.56009;0.52433;0.47247;0.52957;0.46304
Collision;4;10;53.125;32.03125;50.0;0.59483;51.17188;0.6018;0.4969;0.46614;0.50311;0.45593
Collision;6;10;46.09375;32.03125;49.60938;0.61338;50.39062;0.61019;0.48816;0.4691;0.50964;0.47162
Collision;8;10;30.46875;18.75;48.4375;0.60211;50.39062;0.56759;0.47059;0.44134;0.46823;0.41382
Collision;10;10;40.625;22.65625;47.65625;0.60423;50.0;0.58888;0.49533;0.44799;0.48969;0.42841
Collision;Filtered;10;41.40625;37.5;50.78125;0.57112;52.34375;0.57186;0.48723;0.47817;0.48865;0.45139
Continuity;2;10;51.5625;21.875;46.48438;0.60993;50.0;0.61644;0.51042;0.41942;0.50427;0.39221
Continuity;4;10;47.65625;47.65625;49.21875;0.64167;50.78125;0.57986;0.51016;0.48605;0.50116;0.47461
Continuity;6;10;48.4375;52.34375;50.0;0.638;51.17188;0.59476;0.50161;0.4904;0.49933;0.48602
Continuity;8;10;51.5625;49.21875;48.82812;0.62651;52.34375;0.59666;0.493;0.49767;0.49969;0.49219
Continuity;10;10;42.1875;63.28125;50.78125;0.62351;53.51562;0.61725;0.49308;0.51905;0.49414;0.52722
Continuity;Filtered;10;56.25;66.40625;51.17188;0.58537;55.07812;0.56774;0.51271;0.56169;0.51239;0.53845
Gravity;2;10;57.8125;67.1875;55.07812;0.57645;61.71875;0.56958;0.59307;0.58488;0.56769;0.62561
Gravity;4;10;50.0;55.46875;50.39062;0.60575;53.51562;0.56864;0.51817;0.53344;0.51062;0.53162
Gravity;6;10;46.09375;46.875;49.21875;0.61711;51.17188;0.6247;0.47488;0.45427;0.46387;0.44495
