Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
continuity;4;5;56.78571;56.60714;51.60714;0.61153;53.66071;0.60528;0.55015;0.54976;0.54504;0.55088
continuity;8;5;59.82143;59.375;51.42857;0.61176;57.5;0.60417;0.56844;0.56999;0.56756;0.58247
continuity;12;5;66.96429;62.5;51.02679;0.62786;55.13393;0.62244;0.59702;0.5562;0.62024;0.56327
continuity;16;5;70.625;67.58928;53.4375;0.63324;58.16964;0.62165;0.60386;0.58671;0.64249;0.60108
continuity;20;5;70.53571;70.08929;54.19643;0.63758;59.59821;0.63073;0.58939;0.60054;0.61999;0.62366
continuity;Filtered;5;60.17857;62.14286;53.03571;0.60721;56.60714;0.6022;0.5721;0.57427;0.56766;0.58505
solidity;4;5;50.8772;50.65789;50.0;0.60753;51.42544;0.59964;0.50632;0.50405;0.50495;0.49983
solidity;8;5;50.0;48.68421;49.34211;0.61688;50.98684;0.59894;0.5047;0.4988;0.50469;0.49742
solidity;12;5;49.34211;51.09649;50.43859;0.62447;50.8772;0.60983;0.50284;0.49795;0.50259;0.49829
solidity;16;5;49.7807;49.7807;49.45175;0.63451;51.53509;0.61308;0.49961;0.49851;0.50031;0.49837
solidity;20;5;48.90351;49.12281;49.89035;0.64254;51.64474;0.62008;0.50182;0.5039;0.4994;0.50106
solidity;Filtered;5;48.46491;50.65789;49.5614;0.60669;52.19298;0.59648;0.50484;0.50732;0.50498;0.5061
gravity;4;5;50.0;50.25338;50.71791;0.61886;50.88682;0.60146;0.50214;0.51193;0.50305;0.50378
gravity;8;5;50.0;50.59122;50.12669;0.61675;50.84459;0.61547;0.50159;0.50347;0.50395;0.50092
gravity;12;5;50.76014;48.05743;49.87331;0.62155;50.80236;0.61284;0.50121;0.50253;0.50289;0.49699
gravity;16;5;49.83108;49.32433;50.04223;0.62534;50.80236;0.60272;0.50076;0.50663;0.50182;0.50237
gravity;20;5;49.83108;50.0;49.83108;0.62764;50.76014;0.60675;0.50075;0.50436;0.50118;0.49956
gravity;Filtered;5;50.16892;50.76014;50.63345;0.61359;51.60473;0.61092;0.50207;0.50925;0.50479;0.50656
