Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
O1;2;2;66.66667;35.0;48.33333;0.62209;60.83334;0.53438;0.59047;0.60525;0.53806;0.51014
O1;4;2;70.0;31.66667;48.33333;0.62417;60.83334;0.52738;0.62204;0.60534;0.55306;0.51097
O1;6;2;73.33334;38.33333;49.16667;0.62142;60.83334;0.53414;0.62836;0.61434;0.56361;0.52847
O1;8;2;78.33334;56.66667;52.5;0.62542;60.83334;0.54715;0.63767;0.64321;0.58611;0.58056
O1;10;2;65.0;51.66666;51.66666;0.62962;60.83334;0.56979;0.61789;0.68653;0.55694;0.62597
O1;Filtered;2;68.33334;43.33333;47.5;0.59415;60.83334;0.52688;0.6157;0.6214;0.55528;0.53611
O2;2;2;66.66667;25.0;46.66667;0.6237;58.33333;0.52327;0.57296;0.56851;0.52778;0.48139
O2;4;2;70.0;30.0;48.33333;0.62302;58.33333;0.51966;0.58012;0.57713;0.53528;0.49722
O2;6;2;73.33334;43.33333;47.5;0.6216;58.33333;0.52757;0.59075;0.60023;0.54333;0.53778
O2;8;2;75.0;56.66667;46.66667;0.625;59.16666;0.58052;0.60061;0.61583;0.55611;0.5475
O2;10;2;58.33333;48.33333;49.16667;0.62199;65.0;0.60377;0.56671;0.69789;0.53;0.60264
O2;Filtered;2;71.66666;51.66666;45.0;0.60351;58.33333;0.51897;0.57569;0.59261;0.53556;0.51708
O3;2;2;78.33334;41.66666;48.33333;0.63761;58.33333;0.53071;0.59705;0.5788;0.54194;0.50278
O3;4;2;81.66666;43.33333;47.5;0.63204;58.33333;0.51886;0.61012;0.57833;0.5575;0.49903
O3;6;2;85.0;48.33333;47.5;0.63981;58.33333;0.52752;0.61986;0.58542;0.57389;0.51375
O3;8;2;81.66666;38.33333;48.33333;0.64602;58.33333;0.54293;0.62146;0.57414;0.57861;0.49069
O3;10;2;76.66666;48.33333;49.16667;0.64688;58.33333;0.56816;0.60486;0.61229;0.55917;0.53708
O3;Filtered;2;81.66666;70.0;50.83333;0.60442;58.33333;0.51876;0.60826;0.60343;0.55694;0.54917
