Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
Collision;2;2;79.68750;20.31250;49.21875;0.10859;50.00000;0.10929;0.58019;0.40876;0.56946;0.38098
Collision;4;2;68.75000;21.09375;49.21875;0.09333;50.39062;0.09493;0.55891;0.39540;0.54297;0.34879
Collision;6;2;72.65625;46.87500;50.39062;0.09605;52.34375;0.08784;0.55172;0.48667;0.53912;0.49222
Collision;8;2;71.09375;47.65625;51.17188;0.10081;52.34375;0.08043;0.54873;0.49362;0.54010;0.49323
Collision;10;2;73.43750;40.62500;50.78125;0.10512;52.73438;0.09695;0.54806;0.48124;0.54095;0.48865
Collision;12;2;71.87500;48.43750;50.00000;0.10634;52.73438;0.09837;0.54520;0.49392;0.54803;0.50037
Collision;Filtered;2;74.21875;50.00000;48.43750;0.08260;52.34375;0.07631;0.55909;0.50517;0.55280;0.50876
Collision;2;5;94.53125;32.03125;49.60938;0.10799;50.39062;0.09101;0.68977;0.45603;0.66705;0.43750
Collision;4;5;71.09375;37.50000;49.60938;0.09418;50.78125;0.09058;0.55543;0.44650;0.54645;0.44540
Collision;6;5;69.53125;51.56250;49.60938;0.10132;52.73438;0.09786;0.54677;0.48749;0.54303;0.49847
Collision;8;5;76.56250;50.78125;50.00000;0.10802;52.73438;0.10227;0.56405;0.49945;0.56018;0.50238
Collision;10;5;76.56250;53.90625;49.21875;0.11302;52.73438;0.09975;0.57761;0.49949;0.57568;0.50378
Collision;12;5;78.90625;53.12500;50.39062;0.11586;52.73438;0.10484;0.59290;0.51301;0.59399;0.51093
Collision;Filtered;5;80.46875;51.56250;48.82812;0.08389;53.12500;0.07815;0.59726;0.51305;0.58545;0.50958
Collision;2;10;97.65625;39.84375;50.39062;0.10699;51.95312;0.10730;0.73444;0.48730;0.72028;0.46249
Collision;4;10;60.93750;28.12500;50.00000;0.09511;50.39062;0.09515;0.50512;0.41667;0.52176;0.39532
Collision;6;10;54.68750;25.78125;49.21875;0.10308;50.39062;0.10398;0.48804;0.41629;0.51056;0.39746
Collision;8;10;63.28125;25.78125;48.82812;0.10970;50.39062;0.11118;0.52450;0.42857;0.54486;0.41534
Collision;10;10;74.21875;39.06250;49.21875;0.11367;50.39062;0.11415;0.55990;0.47438;0.57593;0.46692
Collision;12;10;81.25000;50.00000;48.43750;0.11589;51.95312;0.09351;0.59983;0.49546;0.61206;0.48950
Collision;Filtered;10;82.81250;53.90625;50.78125;0.08204;51.95312;0.07945;0.61310;0.48721;0.60419;0.49323
Continuity;2;2;42.96875;47.65625;50.78125;0.10650;51.56250;0.10655;0.48839;0.49038;0.47803;0.48090
Continuity;4;2;48.43750;50.78125;48.82812;0.09320;52.73438;0.08862;0.49898;0.50470;0.48969;0.49554
Continuity;6;2;44.53125;51.56250;50.78125;0.08710;52.34375;0.08602;0.49315;0.49759;0.49268;0.49591
Continuity;8;2;42.96875;50.78125;49.60938;0.08886;52.34375;0.08731;0.49258;0.51106;0.49524;0.51801
Continuity;10;2;43.75000;49.21875;50.78125;0.08998;53.12500;0.08358;0.48990;0.50055;0.49353;0.51538
Continuity;12;2;46.87500;53.12500;49.21875;0.09235;53.90625;0.08522;0.49280;0.51860;0.49493;0.52228
Continuity;Filtered;2;42.18750;51.56250;51.17188;0.08329;52.34375;0.07965;0.49074;0.51009;0.49298;0.51227
Continuity;2;5;60.93750;50.00000;49.60938;0.10625;51.95312;0.10419;0.51970;0.48638;0.50769;0.49393
