Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
continuity;4;5;70.25090;61.02151;53.00179;0.10249;56.18280;0.09462;0.61749;0.58039;0.64625;0.58252
continuity;8;5;72.22222;64.60574;53.31541;0.09899;58.24373;0.09451;0.65099;0.60947;0.66608;0.61000
continuity;12;5;75.17921;67.11469;52.41935;0.10399;60.17025;0.09743;0.66056;0.62121;0.69134;0.62284
continuity;16;5;79.03226;69.08602;52.73298;0.10861;62.81362;0.10117;0.69155;0.65957;0.72663;0.64819
continuity;20;5;79.12186;68.10036;53.76344;0.10847;61.78315;0.10227;0.68187;0.62592;0.72809;0.63877
continuity;Filtered;5;74.19355;70.87814;58.69176;0.09503;60.97670;0.09273;0.64730;0.64194;0.67469;0.65460
solidity;4;5;48.44444;51.11111;50.00000;0.10473;51.33333;0.10133;0.49924;0.49894;0.50148;0.49838
solidity;8;5;47.55556;49.55555;49.33334;0.11588;51.66666;0.10364;0.49591;0.49668;0.49939;0.50280
solidity;12;5;49.33334;53.11111;49.77778;0.12105;52.11111;0.11015;0.49628;0.49695;0.49821;0.50194
solidity;16;5;49.77778;52.22222;49.55555;0.12165;51.66666;0.11098;0.49773;0.50125;0.49764;0.50032
solidity;20;5;48.88889;50.44444;49.77778;0.11963;52.00000;0.10869;0.49634;0.50155;0.49850;0.49892
solidity;Filtered;5;47.77778;48.22222;49.77778;0.10445;50.88889;0.10183;0.49473;0.49430;0.50009;0.49400
gravity;4;5;51.09983;49.49239;50.16920;0.10238;50.50762;0.09551;0.49855;0.49746;0.49636;0.49778
gravity;8;5;49.83080;48.90017;50.08460;0.09638;50.46532;0.09237;0.49675;0.49614;0.49442;0.49686
gravity;12;5;49.57699;48.81557;49.91540;0.09825;50.38071;0.09051;0.49672;0.49486;0.49511;0.49440
gravity;16;5;49.06937;48.90017;49.70389;0.10174;50.50762;0.09671;0.49719;0.49462;0.49659;0.49642
gravity;20;5;49.23858;49.23858;50.08460;0.10258;50.54991;0.09696;0.49552;0.49441;0.49488;0.49518
gravity;Filtered;5;50.16920;50.25381;50.21151;0.09285;50.33841;0.09171;0.49567;0.49219;0.49357;0.49358
