Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
O1;2;2;41.66666;18.33333;49.16667;0.11803;51.66666;0.09864;0.48857;0.50663;0.44750;0.50333
O1;4;2;45.00000;30.00000;49.16667;0.11625;54.16667;0.08899;0.50920;0.55120;0.49778;0.51778
O1;6;2;45.00000;30.00000;48.33333;0.11573;54.16667;0.09453;0.52320;0.56103;0.51306;0.52514
O1;8;2;50.00000;33.33334;50.00000;0.11693;54.16667;0.09912;0.51489;0.56336;0.51694;0.54458
O1;10;2;51.66666;43.33333;50.00000;0.11672;55.83333;0.07668;0.51813;0.58010;0.52389;0.55028
O1;12;2;58.33333;41.66666;50.83333;0.11905;56.66667;0.07689;0.51563;0.57702;0.51694;0.55486
O1;Filtered;2;41.66666;40.00000;49.16667;0.09565;54.16667;0.07618;0.50892;0.55547;0.49028;0.53139
O1;2;5;43.33333;40.00000;50.00000;0.11150;51.66666;0.11161;0.46140;0.46336;0.46389;0.46972
O1;4;5;46.66667;43.33333;50.00000;0.11196;53.33334;0.08687;0.47301;0.48682;0.49083;0.50319
O1;6;5;50.00000;46.66667;48.33333;0.10882;54.16667;0.07784;0.50827;0.50744;0.53306;0.52500
O1;8;5;55.00000;53.33334;50.83333;0.10916;54.16667;0.07632;0.52616;0.54330;0.54722;0.54764
O1;10;5;58.33333;55.00000;54.16667;0.08498;58.33333;0.07752;0.52092;0.53378;0.54694;0.56972
O1;12;5;53.33334;51.66666;49.16667;0.09519;54.16667;0.07930;0.49048;0.49203;0.50667;0.51569
O1;Filtered;5;50.00000;53.33334;50.00000;0.08498;52.50000;0.07643;0.49977;0.49985;0.49028;0.49431
O2;2;2;45.00000;15.00000;49.16667;0.11218;51.66666;0.10059;0.50335;0.50525;0.49500;0.50278
O2;4;2;41.66666;28.33333;49.16667;0.11370;52.50000;0.09891;0.49637;0.50764;0.49944;0.50139
O2;6;2;46.66667;26.66667;49.16667;0.11294;50.83333;0.07323;0.49243;0.51547;0.50056;0.49764
O2;8;2;46.66667;26.66667;48.33333;0.11450;51.66666;0.07597;0.50811;0.52779;0.49944;0.49875
O2;10;2;45.00000;33.33334;50.00000;0.11748;52.50000;0.07635;0.51860;0.54060;0.50000;0.50764
O2;12;2;46.66667;30.00000;49.16667;0.11911;53.33334;0.07564;0.51704;0.53835;0.50028;0.50736
O2;Filtered;2;46.66667;26.66667;49.16667;0.09300;51.66666;0.07456;0.49649;0.52572;0.49889;0.50375
O2;2;5;43.33333;43.33333;50.00000;0.11054;51.66666;0.08136;0.50701;0.50863;0.48139;0.48931
O2;4;5;40.00000;41.66666;49.16667;0.11254;51.66666;0.09309;0.48838;0.49308;0.49833;0.49847
O2;6;5;51.66666;46.66667;49.16667;0.10992;52.50000;0.10028;0.49201;0.51300;0.50250;0.51042
O2;8;5;46.66667;45.00000;50.00000;0.09926;51.66666;0.07342;0.51007;0.52529;0.48972;0.49722
O2;10;5;55.00000;51.66666;50.00000;0.08324;53.33334;0.07389;0.50874;0.52353;0.50333;0.51167
O2;12;5;53.33334;51.66666;49.16667;0.09181;52.50000;0.07308;0.51726;0.52582;0.50444;0.50819
O2;Filtered;5;53.33334;51.66666;50.00000;0.08324;51.66666;0.06986;0.51039;0.51503;0.49389;0.49847
O3;2;2;35.00000;16.66667;49.16667;0.12914;51.66666;0.09985;0.48519;0.50375;0.45750;0.49861
O3;4;2;48.33333;40.00000;49.16667;0.12156;52.50000;0.07800;0.50512;0.54093;0.49097;0.51014
O3;6;2;48.33333;40.00000;49.16667;0.13001;55.00000;0.07936;0.54701;0.56994;0.50139;0.51625
O3;8;2;48.33333;38.33333;49.16667;0.12863;55.83333;0.07731;0.52716;0.58598;0.50917;0.52042
O3;10;2;53.33334;40.00000;49.16667;0.11827;56.66667;0.07824;0.51530;0.59816;0.51528;0.53056
O3;12;2;41.66666;40.00000;49.16667;0.11664;55.00000;0.07727;0.50108;0.56588;0.49389;0.52903
O3;Filtered;2;41.66666;36.66667;49.16667;0.09627;52.50000;0.07479;0.48568;0.52805;0.47778;0.50792
O3;2;5;46.66667;40.00000;49.16667;0.11242;50.83333;0.10993;0.45073;0.45110;0.45861;0.45944
O3;4;5;43.33333;41.66666;50.00000;0.10634;52.50000;0.08588;0.50116;0.51087;0.49556;0.49750
O3;6;5;41.66666;40.00000;49.16667;0.10765;50.83333;0.07472;0.48185;0.48998;0.49472;0.49583
O3;8;5;41.66666;38.33333;50.00000;0.09753;51.66666;0.07806;0.47586;0.47017;0.47750;0.48181
O3;10;5;46.66667;46.66667;49.16667;0.07810;50.83333;0.07608;0.48636;0.48109;0.46000;0.46472
O3;12;5;48.33333;53.33334;50.00000;0.08135;50.00000;0.07292;0.47987;0.47215;0.46500;0.47944
O3;Filtered;5;45.00000;43.33333;50.00000;0.07786;50.83333;0.07791;0.48134;0.46942;0.46444;0.47194
