Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
Collision;2;10;75.00000;33.59375;50.00000;0.09246;50.39062;0.07865;0.53028;0.44718;0.58167;0.43982
Collision;4;10;17.18750;7.03125;47.26562;0.10247;50.00000;0.10873;0.42330;0.38878;0.40710;0.31989
Collision;6;10;31.25000;8.59375;48.04688;0.10944;50.00000;0.11736;0.45334;0.38897;0.46490;0.32147
Collision;8;10;64.06250;14.06250;48.04688;0.11416;50.00000;0.12056;0.51091;0.40221;0.53735;0.34705
Collision;10;10;85.93750;26.56250;49.60938;0.11760;50.39062;0.07515;0.58363;0.45973;0.60730;0.43536
Collision;Filtered;10;66.40625;19.53125;48.82812;0.08530;50.00000;0.09116;0.51733;0.42327;0.54755;0.39258
Continuity;2;10;70.31250;56.25000;50.00000;0.09727;53.12500;0.09438;0.54452;0.52444;0.54016;0.51935
Continuity;4;10;51.56250;42.18750;50.39062;0.09129;50.78125;0.09125;0.49903;0.46379;0.49933;0.45581
Continuity;6;10;60.93750;45.31250;50.78125;0.09803;52.73438;0.09630;0.50332;0.48198;0.50647;0.50534
Continuity;8;10;57.03125;46.09375;50.00000;0.10282;52.34375;0.10181;0.51743;0.47564;0.50983;0.49377
Continuity;10;10;60.93750;38.28125;49.60938;0.10556;51.56250;0.09125;0.52923;0.46838;0.51166;0.47028
Continuity;Filtered;10;54.68750;19.53125;46.87500;0.08746;49.60938;0.08817;0.51589;0.42954;0.50732;0.41071
Gravity;2;10;45.31250;53.90625;53.12500;0.09193;57.03125;0.08870;0.48343;0.55641;0.46899;0.54767
Gravity;4;10;49.21875;51.56250;52.34375;0.10071;53.90625;0.09522;0.49322;0.53371;0.47076;0.53357
Gravity;6;10;44.53125;50.00000;50.78125;0.10935;51.95312;0.09981;0.45877;0.51462;0.43250;0.51312
Gravity;8;10;43.75000;42.96875;48.82812;0.11520;50.78125;0.12148;0.43644;0.41616;0.40631;0.39655
Gravity;10;10;39.84375;44.53125;48.04688;0.11958;50.78125;0.07474;0.43093;0.44500;0.39584;0.39233
Gravity;Filtered;10;43.75000;46.09375;50.39062;0.08466;51.56250;0.08486;0.52658;0.47798;0.50647;0.45044
GravityContinuity;2;10;28.90625;37.50000;49.60938;0.09460;51.95312;0.08942;0.49600;0.51417;0.48981;0.50461
GravityContinuity;4;10;27.34375;32.81250;48.82812;0.09985;51.56250;0.08833;0.48736;0.48387;0.48450;0.47388
GravityContinuity;6;10;36.71875;46.87500;50.00000;0.10397;51.17188;0.09007;0.49274;0.50206;0.49213;0.49512
GravityContinuity;8;10;43.75000;42.96875;50.00000;0.10793;51.17188;0.09375;0.50486;0.49665;0.50250;0.49237
GravityContinuity;10;10;47.65625;46.09375;50.00000;0.10781;51.56250;0.09178;0.51076;0.49813;0.50879;0.49939
GravityContinuity;Filtered;10;32.81250;34.37500;49.60938;0.08509;50.39062;0.07676;0.49426;0.47927;0.48956;0.47400
GravityInertia;2;10;96.09375;75.00000;53.90625;0.10098;60.54688;0.09489;0.60935;0.65169;0.60687;0.62225
GravityInertia;4;10;88.28125;80.46875;54.29688;0.10038;59.37500;0.09714;0.56085;0.55116;0.58173;0.58777
GravityInertia;6;10;85.93750;80.46875;53.12500;0.10792;57.81250;0.10660;0.54778;0.54172;0.56128;0.57312
GravityInertia;8;10;83.59375;85.93750;54.68750;0.11052;57.42188;0.10828;0.53901;0.54812;0.55298;0.57733
GravityInertia;10;10;78.90625;87.50000;52.34375;0.11310;55.46875;0.10887;0.53425;0.53294;0.54205;0.55438
GravityInertia;Filtered;10;78.12500;71.87500;50.78125;0.08832;55.07812;0.08698;0.54334;0.53277;0.54120;0.54742
GravityInertia2;2;10;57.81250;53.12500;47.26562;0.09385;53.90625;0.08637;0.51076;0.51329;0.52612;0.49408
GravityInertia2;4;10;53.90625;49.21875;50.39062;0.09647;53.12500;0.09073;0.55244;0.51875;0.53033;0.50714
GravityInertia2;6;10;50.00000;52.34375;50.78125;0.10369;53.12500;0.09408;0.53237;0.53669;0.54016;0.52325
GravityInertia2;8;10;50.78125;53.90625;51.95312;0.10669;53.90625;0.07813;0.53925;0.50657;0.53436;0.51935
GravityInertia2;10;10;53.12500;55.46875;50.78125;0.10646;54.29688;0.08027;0.53452;0.53272;0.51978;0.53064
GravityInertia2;Filtered;10;53.12500;56.25000;54.29688;0.08041;54.29688;0.08040;0.53294;0.52337;0.51776;0.52753
GravitySupport;2;10;1.56250;50.00000;49.60938;0.09859;51.95312;0.09052;0.37581;0.49290;0.29523;0.48462
GravitySupport;4;10;65.62500;42.18750;49.60938;0.09692;51.95312;0.08444;0.59098;0.49071;0.55945;0.48212
GravitySupport;6;10;82.03125;39.06250;48.82812;0.10330;53.51562;0.08234;0.62089;0.52122;0.59399;0.48206
GravitySupport;8;10;75.78125;47.65625;47.65625;0.10572;53.90625;0.07981;0.60901;0.55596;0.57654;0.50781
GravitySupport;10;10;55.46875;63.28125;47.65625;0.10590;56.25000;0.07906;0.56073;0.59120;0.53247;0.54211
GravitySupport;Filtered;10;66.40625;64.84375;48.82812;0.08748;55.46875;0.07745;0.59453;0.59002;0.57135;0.54883
Inertia;2;10;47.65625;46.09375;50.78125;0.09968;53.12500;0.09784;0.46939;0.47250;0.48425;0.49292
Inertia;4;10;44.53125;49.21875;46.87500;0.09313;50.78125;0.08417;0.47285;0.47920;0.46954;0.47656
Inertia;6;10;43.75000;48.43750;47.65625;0.10035;53.12500;0.08565;0.49725;0.50745;0.48627;0.49292
Inertia;8;10;48.43750;56.25000;48.82812;0.10427;53.90625;0.08735;0.50098;0.52734;0.49341;0.51868
Inertia;10;10;52.34375;53.90625;51.17188;0.10584;52.73438;0.08806;0.50146;0.50026;0.51337;0.49622
Inertia;Filtered;10;48.43750;50.78125;50.39062;0.08707;53.12500;0.08168;0.48916;0.50125;0.48114;0.48303
Inertia2;2;10;55.46875;50.00000;50.39062;0.10064;51.95312;0.09824;0.50065;0.50405;0.50305;0.49902
Inertia2;4;10;46.87500;57.03125;49.60938;0.09214;51.95312;0.08870;0.51114;0.51499;0.50073;0.50348
Inertia2;6;10;47.65625;53.90625;49.60938;0.09857;51.56250;0.08521;0.50702;0.51025;0.49823;0.50244
Inertia2;8;10;52.34375;57.03125;49.60938;0.10279;52.34375;0.08410;0.50656;0.51149;0.50372;0.50488
Inertia2;10;10;51.56250;52.34375;49.60938;0.10485;53.12500;0.08437;0.51176;0.51671;0.50928;0.50287
Inertia2;Filtered;10;49.21875;60.93750;50.39062;0.08616;53.51562;0.08267;0.50463;0.51818;0.50415;0.51227
ObjectPermanence;2;10;41.40625;21.87500;46.09375;0.09835;50.78125;0.08216;0.48766;0.46707;0.47144;0.44574
ObjectPermanence;4;10;59.37500;76.56250;53.51562;0.09508;58.59375;0.08765;0.54156;0.60696;0.52728;0.61371
ObjectPermanence;6;10;60.93750;89.84375;55.07812;0.10157;62.50000;0.09084;0.52108;0.65304;0.52344;0.65839
ObjectPermanence;8;10;45.31250;85.15625;57.42188;0.10449;60.15625;0.09569;0.48713;0.55791;0.48560;0.61243
ObjectPermanence;10;10;31.25000;71.09375;55.46875;0.10881;57.42188;0.10182;0.45934;0.51072;0.44879;0.55634
ObjectPermanence;Filtered;10;28.90625;48.43750;48.43750;0.08674;53.51562;0.07938;0.48148;0.51130;0.47296;0.51398
ObjectPermanence2;2;10;30.46875;7.03125;49.60938;0.09949;50.39062;0.08963;0.50009;0.50114;0.48907;0.50012
ObjectPermanence2;4;10;30.46875;46.09375;48.43750;0.10389;51.56250;0.09258;0.49795;0.49180;0.48553;0.48743
ObjectPermanence2;6;10;23.43750;40.62500;48.43750;0.11118;52.34375;0.10150;0.49324;0.48900;0.48523;0.48608
ObjectPermanence2;8;10;15.62500;28.12500;49.21875;0.11465;50.78125;0.10503;0.48543;0.48572;0.48279;0.48621
ObjectPermanence2;10;10;14.84375;23.43750;49.60938;0.11758;50.78125;0.09903;0.48514;0.49042;0.48462;0.48654
ObjectPermanence2;Filtered;10;19.53125;26.56250;48.43750;0.08975;50.78125;0.08381;0.49200;0.48793;0.48492;0.48447
ObjectPermanence3;2;10;1.56250;14.06250;46.87500;0.10049;50.00000;0.10333;0.38517;0.37921;0.30194;0.31091
ObjectPermanence3;4;10;27.34375;2.34375;49.60938;0.10913;50.00000;0.09002;0.46232;0.48815;0.44336;0.48740
ObjectPermanence3;6;10;64.06250;8.59375;49.60938;0.11423;51.17188;0.09032;0.54505;0.50432;0.52393;0.50150
ObjectPermanence3;8;10;82.03125;13.28125;49.60938;0.11412;50.78125;0.09220;0.58493;0.50351;0.56848;0.49942
ObjectPermanence3;10;10;91.40625;13.28125;49.60938;0.11062;50.78125;0.08801;0.61173;0.50343;0.60052;0.49863
ObjectPermanence3;Filtered;10;85.93750;10.15625;49.60938;0.09302;51.17188;0.08630;0.61197;0.50848;0.59308;0.49762
SolidityContinuity;2;10;1.56250;45.31250;49.60938;0.09628;51.95312;0.09683;0.44175;0.47298;0.43188;0.47656
SolidityContinuity;4;10;53.90625;55.46875;50.78125;0.09472;55.85938;0.08791;0.53275;0.53159;0.51068;0.53412
SolidityContinuity;6;10;74.21875;66.40625;54.68750;0.09647;57.42188;0.09404;0.54869;0.58003;0.53552;0.58514
SolidityContinuity;8;10;64.06250;61.71875;54.29688;0.09907;59.37500;0.09514;0.53131;0.58676;0.52478;0.59863
SolidityContinuity;10;10;47.65625;58.59375;54.68750;0.10007;57.42188;0.09043;0.50551;0.58800;0.50214;0.59290
