Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
continuity;4;5;67.83154;57.52688;52.91219;0.10638;54.74910;0.10280;0.61271;0.56667;0.63434;0.56170
continuity;8;5;72.13261;66.66667;51.79211;0.10370;58.82617;0.09820;0.65345;0.64073;0.66495;0.61318
continuity;12;5;75.08961;66.21864;49.82079;0.10745;59.54301;0.09896;0.69245;0.65435;0.68650;0.61013
continuity;16;5;76.52330;67.65233;48.92473;0.11147;61.91756;0.10055;0.72394;0.67232;0.70476;0.61326
continuity;20;5;76.25448;65.68101;48.92473;0.11018;60.34946;0.09968;0.72070;0.64965;0.71788;0.60201
continuity;Filtered;5;72.40144;67.20430;57.12365;0.09846;60.88710;0.09502;0.63005;0.64737;0.65484;0.65427
solidity;4;5;49.33334;48.88889;50.33333;0.10553;51.22222;0.10310;0.49685;0.49661;0.49753;0.49545
solidity;8;5;48.00000;49.55555;50.11111;0.11641;50.66666;0.10640;0.49304;0.49639;0.49543;0.49864
solidity;12;5;48.44444;50.66666;50.00000;0.12002;51.33333;0.11036;0.49512;0.50180;0.49565;0.50274
solidity;16;5;48.22222;48.00000;50.11111;0.12038;51.00000;0.10702;0.49595;0.50410;0.49683;0.49866
solidity;20;5;49.33334;51.11111;49.66667;0.11842;52.00000;0.10953;0.49418;0.50511;0.49636;0.50181
solidity;Filtered;5;48.22222;46.88889;50.88889;0.10410;51.88889;0.10329;0.49298;0.49220;0.49741;0.48931
gravity;4;5;50.16920;50.00000;50.25381;0.10413;50.93063;0.09195;0.49871;0.50653;0.49624;0.50463
gravity;8;5;50.84602;49.66159;49.61929;0.09911;51.31134;0.09577;0.49956;0.50124;0.49903;0.50250
gravity;12;5;50.42302;50.16920;49.78849;0.10064;50.63451;0.09623;0.50098;0.50034;0.50148;0.50178
gravity;16;5;50.00000;49.83080;49.83080;0.10208;51.26904;0.09645;0.50143;0.50016;0.50226;0.50154
gravity;20;5;50.16920;50.42302;50.38071;0.10285;50.80372;0.10074;0.50149;0.50157;0.50187;0.50121
gravity;Filtered;5;49.40778;51.18443;50.12690;0.09457;50.63451;0.08842;0.49964;0.50258;0.49706;0.50039
