Block;Context length(s);Frame skip;Relative Accuracy (avg);Relative Accuracy (max);Absolute Accuracy (max);Classifier threhshold;Best Absolute Accuracy (max);Best Classifier threhshold;AUPRC (avg);AUPRC (max);AUROC (avg);AUROC (max)
O1;2;2;40.00000;16.66667;49.16667;0.11012;50.83333;0.08843;0.47333;0.50319;0.45806;0.50153
O1;4;2;43.33333;31.66667;49.16667;0.11127;54.16667;0.08765;0.50265;0.55525;0.49028;0.52000
O1;6;2;50.00000;33.33334;49.16667;0.11114;54.16667;0.09174;0.51824;0.55117;0.51111;0.52403
O1;8;2;45.00000;41.66666;49.16667;0.10594;55.83333;0.08085;0.53435;0.57940;0.51500;0.53861
O1;10;2;50.00000;38.33333;49.16667;0.11008;55.00000;0.07947;0.53061;0.58889;0.51472;0.54597
O1;Filtered;2;41.66666;33.33334;49.16667;0.09763;54.16667;0.07977;0.50315;0.53853;0.49222;0.50875
O2;2;2;46.66667;10.00000;49.16667;0.10915;51.66666;0.09535;0.51238;0.50441;0.49528;0.50139
O2;4;2;46.66667;28.33333;49.16667;0.11002;52.50000;0.09058;0.50427;0.51767;0.49528;0.51125
O2;6;2;48.33333;23.33333;49.16667;0.11134;51.66666;0.10109;0.49222;0.50864;0.49806;0.50319
O2;8;2;50.00000;25.00000;49.16667;0.10642;51.66666;0.08152;0.49519;0.51083;0.49917;0.50514
O2;10;2;55.00000;30.00000;50.00000;0.10736;52.50000;0.07866;0.49743;0.52025;0.49861;0.50375
O2;Filtered;2;50.00000;31.66667;49.16667;0.09796;52.50000;0.07857;0.49894;0.52333;0.49917;0.50931
O3;2;2;45.00000;11.66667;49.16667;0.11318;50.83333;0.09380;0.49692;0.50566;0.45889;0.50444
O3;4;2;48.33333;41.66666;50.00000;0.11158;52.50000;0.08878;0.49046;0.51441;0.48250;0.51264
O3;6;2;53.33334;45.00000;49.16667;0.11306;55.00000;0.08501;0.51399;0.58378;0.50528;0.52458
O3;8;2;56.66667;41.66666;49.16667;0.11413;55.83333;0.08311;0.51617;0.58734;0.51361;0.52750
O3;10;2;55.00000;36.66667;49.16667;0.11056;55.83333;0.08085;0.53082;0.59548;0.52194;0.53125
O3;Filtered;2;55.00000;30.00000;49.16667;0.09669;55.00000;0.08105;0.50403;0.51168;0.49500;0.51319
